cat/real,regression bin width,MAE
0.1,1,1.148491594
0.1,0.1,1.023095371
0.1,2,1.149532966
0.1,4,1.149793313
0.1,0.25,1.127739574
0.25,0.5,1.144327215
0.1,0.5,1.144327215
0.1,8,1.1498584
0.25,2,1.149532966
0.25,8,1.1498584
1,2,1.149532966
2,0.1,1.023095371
0.25,0.1,1.023095371
1,0.5,1.144327215
0.5,0.25,1.127739574
0.5,8,1.1498584
0.25,0.25,1.127739574
0.25,1,1.148491594
0.5,4,1.149793313
1,0.25,1.127739574
0.5,1,1.148491594
0.5,2,1.149532966
0.5,0.1,1.023095371
1,4,1.149793313
0.25,4,1.149793313
0.5,0.5,1.144327215
2,0.25,1.127739574
1,0.1,1.023095371
2,0.5,1.144327215
2,1,1.148491594
1,1,1.148491594
1,8,1.1498584
10,0.25,1.127739574
2,2,1.149532966
4,0.1,1.023095371
2,4,1.149793313
2,8,1.1498584
4,0.5,1.144327215
4,4,1.149793313
4,8,1.1498584
4,1,1.148491594
4,0.25,1.127739574
10,0.1,1.023095371
4,2,1.149532966
10,4,1.149793313
10,8,1.1498584
10,1,1.148491594
0.1,8,1.340509501
0.25,0.1,1.221387045
0.1,0.5,1.335861472
10,0.5,1.144327215
0.25,0.5,1.335861472
0.25,1,1.339368234
10,2,1.149532966
0.1,0.25,1.321470279
0.1,0.1,1.221387045
0.1,2,1.340238205
0.1,1,1.339368234
0.1,4,1.340455264
0.25,4,1.340455264
0.25,0.25,1.321470279
0.25,2,1.340238205
0.5,0.1,1.221387045
0.25,8,1.340509501
0.5,0.25,1.321470279
0.5,0.5,1.335861472
1,0.5,1.335861472
0.5,1,1.339368234
0.5,2,1.340238205
0.5,4,1.340455264
0.5,8,1.340509501
1,0.1,1.221387045
2,0.1,1.221387045
1,0.25,1.321470279
1,4,1.340455264
1,8,1.340509501
2,0.25,1.321470279
1,1,1.339368234
1,2,1.340238205
2,4,1.340455264
2,1,1.339368234
2,8,1.340509501
4,1,1.339368234
4,0.25,1.321470279
2,2,1.340238205
2,0.5,1.335861472
4,0.1,1.221387045
4,0.5,1.335861472
4,8,1.340509501
10,0.5,1.335861472
4,2,1.340238205
4,4,1.340455264
10,0.25,1.321470279
10,1,1.339368234
10,0.1,1.221387045
10,2,1.340238205
10,4,1.340455264
10,8,1.340509501
0.1,0.1,1.350133806
0.1,0.25,1.454956302
0.1,0.5,1.46995566
0.1,8,1.474801306
0.1,1,1.473611849
0.25,0.1,1.350152218
0.1,4,1.474744785
0.1,2,1.47451858
0.25,0.25,1.454961029
0.25,0.5,1.469956909
0.5,0.5,1.469956909
0.25,1,1.473612166
0.5,8,1.474801311
0.25,2,1.474518659
0.25,4,1.474744805
0.5,0.25,1.454961029
0.5,4,1.474744805
0.5,2,1.474518659
0.5,0.1,1.350152218
